Name,Distance,Latitude,Longitude
McDonald's - Boat Quay,300.0,1.2906479458523585,103.85447962688238
Song Fa Bak Kut Teh - New Bridge Road,500.0,1.2924445764205974,103.85627671147064
Saap Saap Thai - Funan,400.0,1.291546261136478,103.8553781691765
Stuff'd - Republic Plaza,600.0,1.293342891704717,103.85717525376477
Lucky Cafe - North Canal Road,400.0,1.291546261136478,103.8553781691765
Qi Ji - Funan Mall,400.0,1.291546261136478,103.8553781691765
Paradise Dynasty - Funan,400.0,1.291546261136478,103.8553781691765
Tiong Bahru Bakery - Raffles City Shopping Centre,700.0,1.2942412069888365,103.85807379605889
Chilli Pan Mee - Far East Square,700.0,1.2942412069888365,103.85807379605889
WOK HEY - Funan,400.0,1.291546261136478,103.8553781691765
So Good Char Chan Tang - Capitol Piazza,600.0,1.293342891704717,103.85717525376477
Poke Theory - Change Alley Mall,400.0,1.291546261136478,103.8553781691765
KOI Thé - The Arcade,500.0,1.2924445764205974,103.85627671147064
Urban Mix - One Raffles Place,400.0,1.291546261136478,103.8553781691765
Delibowl - Funan 壹碗福南数码广场,400.0,1.291546261136478,103.8553781691765
Sanook Kitchen - Funan Mall,400.0,1.291546261136478,103.8553781691765
LeNu - Funan,400.0,1.291546261136478,103.8553781691765
CHICHA San Chen - Change Alley,400.0,1.291546261136478,103.8553781691765
Dumpling Darlings - Circular Road,300.0,1.2906479458523585,103.85447962688238
Qin Ji Rougamo - One Raffles Place,400.0,1.291546261136478,103.8553781691765
Mr. Coconut - One Raffles Place,400.0,1.291546261136478,103.8553781691765
Pizza Hut - Havelock II,700.0,1.2942412069888365,103.85807379605889
Toast Box - Funan,500.0,1.2924445764205974,103.85627671147064
Authentic Hock Lam Beef Noodles - 6 North Canal Road,400.0,1.291546261136478,103.8553781691765
Souperstar - One Raffles Place,400.0,1.291546261136478,103.8553781691765
Bawangchaji (FU) - Funan Mall,400.0,1.291546261136478,103.8553781691765
Guzman Y Gomez - Funan,400.0,1.291546261136478,103.8553781691765
Twyst Pasta - Raffles Place MRT Station,500.0,1.2924445764205974,103.85627671147064
Paris Baguette - Hong Leong Building,800.0,1.295139522272956,103.85897233835303
KOI Thé Express - Raffles City Shopping Centre,600.0,1.293342891704717,103.85717525376477
Subway - Funan,400.0,1.291546261136478,103.8553781691765
Potato Corner - Funan,400.0,1.291546261136478,103.8553781691765
